precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT „ELEFĂNŢELUL ALFA” ARAD",86,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:31:24",1158,1151,0,7,0,332,325,0,7,0,323,9,1300,968,42,87,66,43,8,61,16
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT FÂNTÂNELE",262,FÂNTÂNELE,9280,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:08:53",1202,1192,1,6,3,682,673,0,6,3,657,25,1300,618,73,344,120,72,4,20,24
2,ARAD,"GRĂDINIŢA CU PROGRAM PRELUNGIT „FURNICUŢA” ARAD",67,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:52:19",1593,1577,0,16,0,558,542,0,16,0,543,15,1700,1142,72,122,140,44,15,114,36
2,ARAD,"GRĂDINIŢA CU PROGRAM PRELUNGIT „FURNICUŢA” ARAD",68,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:04:27",1351,1342,1,7,1,540,532,0,7,1,520,20,1490,950,69,130,122,64,12,103,20
2,ARAD,"GRĂDINIŢA CU PROGRAM PRELUNGIT „GRĂDINIŢA PRIETENIEI” ARAD",64,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:00:19",1380,1362,5,13,0,465,452,0,13,0,444,21,1540,1075,49,123,101,35,12,92,32
2,ARAD,"GRĂDINIŢA CU PROGRAM PRELUNGIT „GRĂDINIŢA PRIETENIEI” ARAD",63,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 17:26:18",1593,1576,1,16,0,570,554,0,16,0,559,11,1726,1156,74,142,132,55,14,105,37
2,ARAD,"GRĂDINIŢA CU PROGRAM PRELUNGIT „GRĂDINIŢA VESELIEI”",125,"ORAŞ CURTICI",9495,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:37:14",1345,1337,2,4,2,559,553,0,4,2,533,26,1480,921,86,251,96,15,2,48,35
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 11 ARAD",42,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:58:36",1325,1314,0,11,0,610,599,0,11,0,594,16,1470,860,87,176,112,62,12,126,19
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 14 ARAD",100,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:55:45",1253,1225,10,18,0,456,438,0,18,0,440,16,1360,904,49,115,92,27,17,113,27
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 14 ARAD (GRĂDINIȚA CU PROGRAM NORMAL NR. 26)",101,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:51:27",476,460,10,6,0,196,190,0,6,0,191,5,520,324,32,45,27,23,4,47,13
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 14 ARAD (GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 3)",109,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:41:11",1624,1607,9,8,0,618,610,0,8,0,591,26,1730,1112,128,154,126,23,12,118,30
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 1 SÂNTANA (CU 8 SĂLI DE GRUPĂ) - SALĂ MULTIFUNCȚIONALĂ",159,"ORAŞ SÂNTANA",12091,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:45:53",1293,1282,3,8,0,442,432,2,8,0,421,9,1410,980,153,171,61,2,6,13,15
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 7",33,"MUNICIPIUL ARAD",9262,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 15:51:23",1372,1356,3,13,0,491,478,0,13,0,474,17,1500,1009,71,134,116,38,85,10,20
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 7",32,"MUNICIPIUL ARAD",9262,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:26:47",1386,1371,4,11,0,574,563,0,11,0,549,20,1560,991,73,125,135,33,19,135,29
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 8",55,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:55:31",1801,1788,3,7,3,746,736,0,7,3,721,25,1928,1182,104,226,104,91,21,125,50
2,ARAD,"GRĂDINIŢA CU PROGRAM PRELUNGIT „PĂDURENI”",119,"ORAŞ CHIŞINEU-CRIŞ",9459,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 10:37:12",1576,1535,3,19,19,1025,993,0,15,17,929,96,1690,665,75,208,246,310,12,36,42
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT „PALATUL FERMECAT” ARAD",52,"MUNICIPIUL ARAD",9262,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:32:17",1505,1495,1,9,0,516,507,0,9,0,499,17,1640,1124,63,112,132,46,16,100,30
