precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
39,VASLUI,"ŞCOALA PRIMARĂ",67,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:46:03",344,336,0,7,1,128,120,0,7,1,124,4,400,272,67,14,19,7,2,15
39,VASLUI,"ŞCOALA PRIMARĂ",195,BĂCANI,162327,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:44:38",462,452,1,7,2,268,259,0,7,2,259,9,500,232,70,36,138,6,5,4
39,VASLUI,"ŞCOALA PRIMARĂ",68,"MUNICIPIUL VASLUI",161945,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:14:16",993,986,0,6,1,251,244,0,6,1,234,17,1200,949,108,46,31,10,8,31
39,VASLUI,"ŞCOALA PRIMARĂ 1 DECEMBRIE",185,BANCA,162194,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:42:17",333,322,0,10,1,219,208,0,10,1,211,8,400,181,105,8,82,1,3,12
39,VASLUI,"ŞCOALA PRIMARĂ, ALBEŞTI",271,DELEŞTI,163379,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:02:23",143,138,0,5,0,70,65,0,5,0,65,5,200,130,30,13,19,2,0,1
39,VASLUI,"ŞCOALA PRIMARĂ BĂBUŢA",284,DRAGOMIREŞTI,163486,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:29:18",80,71,0,8,1,80,71,0,8,1,78,2,200,120,34,4,20,1,1,18
39,VASLUI,"ŞCOALA PRIMARÃ BÃLEŞTI",256,COZMEŞTI,167277,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:36:30",583,582,0,1,0,302,301,0,1,0,285,17,600,298,110,141,21,3,1,9
39,VASLUI,"ȘCOALA PRIMARĂ BĂLTENI DEAL",206,BĂLTENI,162452,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:03",335,325,1,5,4,168,159,0,5,4,158,10,400,232,100,15,28,2,1,12
39,VASLUI,"ȘCOALA PRIMARĂ BĂNCEȘTI",526,VOINEŞTI,166869,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:24:32",169,163,0,6,0,97,91,0,6,0,86,11,200,103,37,12,8,1,1,27
39,VASLUI,"ŞCOALA PRIMARĂ BELZENI",285,DRAGOMIREŞTI,163486,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:29:38",215,213,0,1,1,93,91,0,1,1,83,8,300,209,23,39,15,1,0,5
39,VASLUI,"ŞCOALA PRIMARA BEREASA",265,DĂNEŞTI,163253,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:20:25",291,285,0,5,1,158,152,0,5,1,144,14,300,142,51,14,45,5,0,29
39,VASLUI,"ŞCOALA PRIMARĂ, BOGDANA - VOLOSENI",469,STĂNILEŞTI,165979,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:48:48",122,112,0,7,3,74,64,0,7,3,69,5,200,126,32,3,26,0,5,3
39,VASLUI,"ŞCOALA PRIMARĂ BOLAŢI",447,REBRICEA,165719,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:39:19",153,145,0,4,4,84,76,0,4,4,78,6,200,116,49,4,20,2,0,3
39,VASLUI,"ŞCOALA PRIMARA, BRADESTI",519,VINDEREI,166770,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:17",398,384,0,7,7,220,206,0,7,7,197,9,400,194,164,8,20,3,2,0
39,VASLUI,"ŞCOALA PRIMARA, BRĂHĂŞOAIA",476,"ŞTEFAN CEL MARE",166057,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:55:16",402,388,0,5,9,225,211,0,5,9,217,8,400,175,192,16,7,0,0,2
39,VASLUI,"ȘCOALA PRIMARĂ BUDA",177,"ALEXANDRU VLAHUŢĂ",162069,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:01:22",206,190,0,4,12,117,101,0,4,12,113,4,300,183,69,24,7,0,11,2
39,VASLUI,"ŞCOALA PRIMARĂ, BUDU - CANTEMIR",470,STĂNILEŞTI,165979,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:49:40",196,192,0,3,1,89,85,0,3,1,82,7,200,111,61,4,14,0,2,1
39,VASLUI,"ŞCOALA PRIMARĂ, CHERSĂCOSU",471,STĂNILEŞTI,165979,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:26:54",417,412,0,3,2,210,205,0,3,2,201,9,500,290,107,27,63,3,0,1
39,VASLUI,"ŞCOALA PRIMARA CHETREŞTI",207,BĂLTENI,162452,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:03:24",66,58,0,7,1,66,58,0,7,1,65,1,100,34,57,2,4,0,0,2
39,VASLUI,"ŞCOALA PRIMARĂ CHIŢCANI",251,COSTEŞTI,163137,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:01:08",255,250,0,5,0,114,109,0,5,0,103,7,300,190,63,23,11,1,0,5
39,VASLUI,"ŞCOALA PRIMARA ”CONSTANTIN MANOILESCU” MARASENI",477,"ŞTEFAN CEL MARE",166057,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:23",793,781,0,5,7,450,438,0,5,7,438,12,900,450,348,50,19,3,3,15
39,VASLUI,"ŞCOALA PRIMARA COROIEŞTI",230,BOGDĂNIŢA,162791,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:05:15",345,337,0,7,1,179,171,0,7,1,168,11,400,221,29,38,50,32,10,9
39,VASLUI,"ȘCOALA PRIMARĂ COTIC",494,TODIREŞTI,166413,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:54:46",242,238,0,4,0,114,110,0,4,0,105,9,300,186,70,7,24,0,0,4
39,VASLUI,"ŞCOALA PRIMARĂ CRĂCIUNEŞTI",448,REBRICEA,165719,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:54:16",241,224,0,7,10,159,142,0,7,10,155,4,300,141,118,10,19,6,2,0
39,VASLUI,"ȘCOALA PRIMARĂ CRÂNG",240,CIOCANI,167268,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:13:21",387,378,0,9,0,245,236,0,9,0,233,12,400,155,126,36,54,2,0,15
