precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL LĂPUŞNICU MARE",265,"LĂPUŞNICU MARE",53103,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:43:03",1061,831,0,185,45,805,575,0,185,45,741,64,1112,307,203,233,221,83,1
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL MOCERIŞ",266,"LĂPUŞNICU MARE",53103,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:01",506,420,0,64,22,405,319,0,64,22,388,17,556,151,21,159,64,59,85
