precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TINEI SILVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHALEA SILVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","PAŞCU VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
4,BACĂU,"CĂMIN CULTURAL",375,"GURA VĂII",20607,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:31:02",931,922,0,3,6,474,465,0,3,6,456,18,1000,526,410,21,25
4,BACĂU,"CLĂDIRE ADMINISTRATIVĂ",376,"GURA VĂII",20607,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:30:12",98,92,0,6,0,60,54,0,6,0,53,7,100,40,31,20,2
4,BACĂU,"GRĂDINIŢA PĂTRĂŞCANI",373,"GURA VĂII",20607,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:31",319,312,0,7,0,185,178,0,7,0,181,4,404,219,145,21,15
4,BACĂU,"PRIMĂRIA GURA VĂII",372,"GURA VĂII",20607,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:30",1191,1169,1,7,14,633,612,0,7,14,607,26,1200,567,475,31,101
4,BACĂU,"ŞCOALA CAPĂTA",374,"GURA VĂII",20607,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:45:22",279,276,0,3,0,160,157,0,3,0,153,7,300,140,127,16,10
4,BACĂU,"ŞCOALA PĂLTINATA",377,"GURA VĂII",20607,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:11",339,327,1,6,5,194,183,0,6,5,192,2,400,206,177,7,8
4,BACĂU,"ŞCOALA TEMELIA",378,"GURA VĂII",20607,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:23:05",792,784,1,3,4,290,282,1,3,4,276,14,800,510,217,39,20
