precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA CONSTANTIN-MARCEL-PARTIDUL NAȚIONAL LIBERAL-voturi","CRÎMPIŢĂ-MATEI ANDREEA-IULIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","TICĂ ION-voturi"
3,ARGEŞ,"CĂMIN CULTURAL DRĂGHICI",388,MIHĂEŞTI,17254,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:42:51",839,834,1,3,1,523,518,1,3,1,510,13,920,397,91,388,31
3,ARGEŞ,"CĂMIN CULTURAL VĂCAREA",391,MIHĂEŞTI,17254,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:20:38",433,423,0,7,3,321,311,0,7,3,312,9,470,149,89,165,58
3,ARGEŞ,"CĂMIN CULTURAL VALEA-POPII",390,MIHĂEŞTI,17254,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:30:09",762,752,2,8,0,532,523,1,8,0,523,9,835,303,118,360,45
3,ARGEŞ,"CAMINUL CULTURAL FURNICOSI",389,MIHĂEŞTI,17254,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:07:51",745,743,0,2,0,468,466,0,2,0,458,10,819,351,113,314,31
3,ARGEŞ,"CĂMINUL CULTURAL MIHĂEȘTI",387,MIHĂEŞTI,17254,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:04:40",2052,2040,0,12,0,1185,1173,0,12,0,1129,56,2238,1053,570,517,42
