precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOCŞERI REMI-PARTIDUL SOCIAL DEMOCRAT-voturi","MUNTEAN EMANUEL-VALER-PARTIDUL NAȚIONAL LIBERAL-voturi","VOINA ILEANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL PRICAZ",498,TURDAŞ,91688,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:49",1107,1065,1,25,16,716,675,0,25,16,686,30,1180,464,376,283,27
22,HUNEDOARA,"CĂMINUL CULTURAL TURDAŞ",497,TURDAŞ,91688,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:22",421,408,0,7,6,267,254,0,7,6,254,7,450,188,118,121,15
22,HUNEDOARA,"ŞCOALA PRIMARĂ SPINI",499,TURDAŞ,91688,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:02:31",251,237,0,9,5,143,129,0,9,5,142,1,243,100,76,61,5
