precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KELEMEN ZOLTAN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MALIŢA ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","TOMELE CIPRIAN-NICOLAE-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","HEGEDÜS HAJNALKA-KATALIN-voturi","GYÖRI SÁNDOR-voturi"
5,BIHOR,"ŞCOALA GIMNAZIALĂ ”JAKO ZSIGMOND”",528,ROŞIORI,32187,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:08:08",1108,1084,2,6,16,720,697,1,6,16,695,25,1217,497,553,29,11,93,9
5,BIHOR,"ŞCOALA GIMNAZIALĂ NR.1",529,ROŞIORI,32187,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:00:24",813,804,0,5,4,449,440,0,5,4,439,10,898,449,48,338,41,11,1
5,BIHOR,"ŞCOALA PRIMARĂ NR.1",530,ROŞIORI,32187,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:22:30",377,362,0,7,8,258,243,0,7,8,247,11,413,155,199,2,1,30,15
