precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BURCEA FLORENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL BUJORENI",117,BUJORENI,152270,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:20",409,374,0,25,10,198,163,0,25,10,190,8,415,217,190
36,TELEORMAN,"ŞCOALA CU CLASELE I-IV PRUNARU",118,BUJORENI,152270,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:50:14",342,321,1,16,4,150,130,0,16,4,139,11,344,194,139
