precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GHIŢĂ GHEORGHE-SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","COSAC ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MAMOTĂ CĂTĂLIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","NICULICIOIU CONSTANTIN-NINEL-FORȚA DREPTEI-voturi"
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII VLĂDEŞTI",426,VLĂDEŞTI,174156,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:52:29",1299,1275,4,12,8,769,749,0,12,8,762,7,1390,621,113,509,87,53
40,VÂLCEA,"ŞCOALA CU CLASELE I-VIII VLĂDEŞTI",425,VLĂDEŞTI,174156,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:44:28",1696,1636,5,29,26,1006,950,1,29,26,968,38,1780,774,111,573,150,134
