precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
2,ARAD,"CĂMINUL CULTURAL SOCODOR",362,SOCODOR,12126,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:27",1008,939,0,21,48,676,607,0,21,48,644,32,1050,374,76,430,128,10
2,ARAD,"PRIMĂRIA COMUNEI SOCODOR",361,SOCODOR,12126,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:14",969,893,0,30,46,689,613,0,30,46,654,35,984,295,40,494,117,3
