precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IANCU-SĂLĂJANU DINU-PARTIDUL NAȚIONAL LIBERAL-voturi","SZILÁGYI RÓBERT-ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FLORIAN FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PERNEŞ AMBROZIU-FELICIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PÜSÖK FERENC-PARTIDUL S.O.S. ROMÂNIA-voturi","ARDELEAN COSMIN-VASILE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
33,SĂLAJ,"AFTER SCHOOL CHECHIŞ",79,BĂLAN,140146,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 12:58:41",550,497,0,36,17,381,328,0,36,17,367,14,550,169,156,2,133,24,7,45
33,SĂLAJ,"AFTER SCHOOL ȘĂRMĂȘAG",287,ŞĂRMĂŞAG,142881,3,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:14:46",841,820,2,6,13,497,477,1,6,13,481,16,900,403,14,425,26,8,6,2
33,SĂLAJ,"BAZA SPORTIVĂ",63,"ORAŞ ŞIMLEU SILVANIEI",139884,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:33:20",749,744,0,5,0,443,438,0,5,0,426,17,855,412,290,6,85,21,7,17
33,SĂLAJ,"CAMIN CULTURAL",159,GÂLGĂU,141134,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:29:09",379,355,0,18,6,221,197,0,18,6,214,7,400,179,134,1,46,23,7,3
33,SĂLAJ,"CAMIN CULTURAL",157,GÂLGĂU,141134,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:10:33",154,142,0,8,4,109,97,0,8,4,107,2,160,51,57,1,41,1,2,5
33,SĂLAJ,"CĂMIN CULTURAL",284,ŞAMŞUD,142854,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:42:36",899,859,1,0,39,543,504,1,0,38,520,23,968,425,3,500,13,3,0,1
33,SĂLAJ,"CĂMIN CULTURAL",83,BĂNIŞOR,140208,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:55:45",477,473,0,3,1,292,288,0,3,1,277,15,520,228,58,0,162,22,3,32
33,SĂLAJ,"CĂMIN CULTURAL",243,PERICEI,142284,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 20:32:52",552,532,0,9,11,311,291,0,9,11,299,12,600,289,203,4,47,19,11,15
33,SĂLAJ,"CAMIN CULTURAL ALEUS",168,HALMĂŞD,141312,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:06:16",230,214,0,9,7,163,147,0,9,7,158,5,250,87,72,4,71,6,2,3
33,SĂLAJ,"CAMIN CULTURAL BAN, NR. 55",84,BĂNIŞOR,140208,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:44:11",349,335,1,11,2,210,197,0,11,2,203,7,400,190,58,0,86,11,15,33
