precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
21,HARGHITA,"CASA DE CULTURĂ A SINDICATELOR MIERCUREA-CIUC",3,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:13:59",1490,1476,5,9,0,635,626,0,9,0,620,15,1600,965,41,9,26,455,7,4,78
21,HARGHITA,"CASA DE CULTURĂ TOPLIȚA MIERCUREA-CIUC",22,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:14:33",1671,1660,5,6,0,878,871,1,6,0,863,15,1800,922,14,3,14,717,0,3,112
21,HARGHITA,"GRĂDINIŢA ”ARANYALMA” MIERCUREA-CIUC",17,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:37:04",1562,1534,7,19,2,528,506,1,19,2,517,11,1600,1072,35,25,42,366,3,3,43
21,HARGHITA,"GRĂDINIŢA „NAPRAFORGÓ” MIERCUREA-CIUC",10,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:55:50",1421,1418,2,1,0,661,660,0,1,0,640,19,1600,941,40,13,37,481,1,2,66
21,HARGHITA,"LICEUL DE ARTE ”NAGY ISTVÁN” MIERCUREA-CIUC",2,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:37:20",1477,1462,2,11,2,670,658,0,10,2,665,5,1800,1130,47,16,51,465,2,12,72
21,HARGHITA,"LICEUL TEHNOLIGIC ”SZÉKELY KÁROLY” MIERCUREA-CIUC",19,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:19:16",1405,1384,10,10,1,632,621,0,10,1,622,10,1500,868,25,11,31,475,4,2,74
21,HARGHITA,"LICEUL TEHNOLIGIC ”SZÉKELY KÁROLY” MIERCUREA-CIUC",18,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:14:00",1451,1433,0,14,4,621,603,0,14,4,606,15,1600,979,20,15,22,479,5,2,63
21,HARGHITA,"SALA DE SPORT A ȘCOLII GIMNAZIALE ”JÓZSEF ATTILA” MIERCUREA-CIUC",15,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:42:23",1625,1596,15,13,1,720,706,0,13,1,717,3,1800,1080,49,23,48,520,11,9,57
21,HARGHITA,"SALA DE SPORT A ȘCOLII GIMNAZILAE ”JÓZSEF ATTILA” MIERCUREA-CIUC",16,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:53:44",1446,1440,0,0,6,618,618,0,0,0,602,16,1600,0,51,26,47,403,5,4,66
21,HARGHITA,"S.C. GOSCOM S.A MIERCUREA-CIUC",11,"MUNICIPIUL MIERCUREA-CIUC",83320,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:56",1156,1156,0,0,0,450,450,0,0,0,433,17,1300,850,35,8,14,330,0,4,42
