precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ACUM-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL SĂLĂTRUCEL",360,SĂLĂTRUCEL,172894,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:21",1235,1214,2,7,12,774,754,1,7,12,747,27,1330,556,44,282,67,192,15,21,54,72
40,VÂLCEA,"ŞCOALA PATEŞTI",361,SĂLĂTRUCEL,172894,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:06:12",104,95,0,9,0,75,66,0,9,0,70,5,110,35,2,47,5,8,4,4,0,0
40,VÂLCEA,"ŞCOALA SEACA",362,SĂLĂTRUCEL,172894,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:50:18",89,80,0,8,1,61,52,0,8,1,58,3,90,29,14,22,2,16,0,1,0,3
40,VÂLCEA,"ŞCOALA ŞERBĂNEŞTI",363,SĂLĂTRUCEL,172894,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:58:17",396,376,0,10,10,250,230,0,10,10,226,24,430,180,14,135,11,38,24,1,0,3
