county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BIHARI EDÖMÉR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MÁTHÉ ÁRPÁD-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PASTOR NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","OLARU ELENA-MAURA-PARTIDUL SOCIAL DEMOCRAT-voturi","SIMON ANDRAS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","KERESZTES ISTVÁN-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","NAGY ISTVÁN-CSONGOR-voturi","FERENCZ ZOLTÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","RACOLŢA ALEXANDRU-ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","KOZMA ALBERT-voturi","BÁCS MÁRTON-CSABA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FODOR ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","KANYÓ ANTAL-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ILIE NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","BALÁZSI DÉNES-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BORZOS SAMUIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TÓKOS ERNŐ-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","TÁNCZOS FERENC-SZABOLCS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DIMÉNY ZOLTÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TUSA LEVENTE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ZSIGMOND ZOLTÁN-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","MÁGORI ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MATEI ZOLTÁN-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","RÁKOSI ÁRPÁD-voturi","CALOTĂ IONELA-RALUCA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TĂRAS SILVIU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","KOCSIS BÉLA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MARTI ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MUZSNAI LÁSZLÓ-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","BARBU BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SALAMON BALÁZS-voturi","ILYÉS BOTOND-JÁNOS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","RACOVIŢĂ LIVIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PORZSOLT LEVENTE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","LEPEDAT FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CUCU ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","KERESZTES DAN-SEBASTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MARAVELA CRIŞAN-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PĂLĂCEAN STELIAN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","FODOR IMRE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BENKŐ ÁRPÁD-JENŐ-voturi","JÉNÁKI CSONGOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","SZOTYORI ANGÉLA-GIZELLA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MOLNÁR ISTVÁN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DEMETER FERENC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","SORBÁN GYÖRGY-PARTIDUL NAȚIONAL LIBERAL-voturi","VITÁLYOS LAJOS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BOITIŞ GAVRIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DULANYI-BALOGH SZILÁRD-UNIUNEA SALVAȚI ROMÂNIA-voturi","ANTAL ÁRPÁD-ANDRÁS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","OLTEAN PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","KOLCZA ISTVÁN-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ERŐSS BULCSÚ-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","BOKOR TIBERIU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","LUKÁCS LÁSZLÓ-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","IMRE CSABA-voturi","PÉNZES ÁGOSTON-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BENEDEK-HUSZÁR JÁNOS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","DERZSI-RÁDULY KÁZMÉR-voturi","DEACONU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","GYERŐ JÓZSEF-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TABALAI GHEORGHE-UNIUNEA SALVAȚI ROMÂNIA-voturi","BORICEAN GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","URDĂ RAUL-ALIANȚA PENTRU ÎNTORSURA BUZĂULUI - USR PNL-voturi","MUREA MARCEL-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂNCILĂ LECA-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","MORAR CLAUDIU-SEVERIAN-voturi","KOVÁCS FERENC-PARTIDUL NAȚIONAL LIBERAL-voturi","BORDÁS ENIKŐ-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PÁLL ENDRE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","SZALLÓ JÁNOS-ADOLF-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","DOMBORA LEHEL-LAJOS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BALOGH TIBOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","CRISTEA DORIN-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PRUNDAR GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","STOICA NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","TIMARU IOAN-PARTIDUL MIȘCAREA POPULARĂ-voturi","DARAGUS ATTILA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BACIU-ANDREI MARIAN-LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","LĂUTAR EMILIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DIMA MIHÁLY-PARTIDUL NAȚIONAL LIBERAL-voturi","KISGYÖRGY SÁNDOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","MARIN BOGDAN-ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","SCHIOPU GHEORGHE-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","SAMOILĂ GHEORGHE-voturi","IMETS LAJOS-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BOC CONSTANDIN-PARTIDUL NAȚIONAL LIBERAL-voturi","FEJÉR LEVENTE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PAKÓ JÁNOS-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","GÁSPÁR FERENC-PARTIDUL SOCIAL DEMOCRAT-voturi","KISS AUGUSTIN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ILIA RAFAEL-CRISTIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi"
15,COVASNA,"AITA MARE",63777,1,FINAL,UAT,P,P_CE,"2024-06-10 08:17:35",1351,1304,7,11,29,682,643,1,11,27,601,81,1472,790,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,ARCUŞ,65113,1,FINAL,UAT,P,P_CE,"2024-06-11 10:56:55",1434,1400,7,0,27,875,848,0,0,27,841,34,1570,661,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BARCANI,63633,2,FINAL,UAT,P,P_CE,"2024-06-13 18:28:15",3090,3057,0,19,14,2036,2003,0,19,14,1987,49,3320,1284,0,0,1792,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BĂŢANI,63802,2,FINAL,UAT,P,P_CE,"2024-06-14 14:39:44",3587,3545,3,10,29,1864,1825,0,10,29,1722,142,3918,2054,0,0,0,0,576,31,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BELIN,63866,2,FINAL,UAT,P,P_CE,"2024-06-13 11:15:39",2264,2219,1,4,40,1410,1366,0,4,40,1367,43,2464,1054,0,0,0,0,0,0,0,563,772,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BIXAD,65121,1,FINAL,UAT,P,P_CE,"2024-06-10 07:53:05",1390,1362,4,3,21,645,621,0,3,21,602,43,1528,883,0,0,0,0,0,0,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BODOC,63893,1,FINAL,UAT,P,P_CE,"2024-06-10 08:59:24",2005,1967,4,6,28,1242,1207,1,6,28,1214,28,2197,955,0,0,0,0,0,0,0,0,0,0,0,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,"BOROŞNEU MARE",63937,1,FINAL,UAT,P,P_CE,"2024-06-10 10:21:35",2636,2454,1,131,50,1431,1249,1,131,50,1391,40,2743,1312,0,0,0,0,0,0,0,0,0,0,0,0,866,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BRĂDUŢ,64041,1,FINAL,UAT,P,P_CE,"2024-06-10 16:51:31",3800,3641,2,16,141,2332,2179,0,16,137,2261,71,4154,1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,214,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BRATEŞ,64005,1,FINAL,UAT,P,P_CE,"2024-06-10 08:32:34",1178,1139,3,4,32,669,633,0,4,32,648,21,1277,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,BREŢCU,64096,1,FINAL,UAT,P,P_CE,"2024-06-10 10:46:39",2817,2726,2,14,75,1430,1340,1,14,75,1275,155,3075,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,CATALINA,64130,1,FINAL,UAT,P,P_CE,"2024-06-10 11:43:40",2682,2668,2,10,2,1556,1544,0,10,2,1506,50,2915,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,CERNAT,64194,2,FINAL,UAT,P,P_CE,"2024-06-14 13:32:50",3301,3176,12,3,110,1862,1748,1,3,110,1796,66,3622,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314,123,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,CHICHIŞ,64238,1,FINAL,UAT,P,P_CE,"2024-06-10 06:38:04",1288,1231,5,12,40,772,719,1,12,40,756,16,1413,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,COMANDĂU,63553,1,FINAL,UAT,P,P_CE,"2024-06-10 04:08:25",801,776,2,2,21,446,423,0,2,21,401,45,876,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,DALNIC,65147,1,FINAL,UAT,P,P_CE,"2024-06-10 08:43:05",756,754,0,2,0,407,405,0,2,0,386,21,828,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,DOBÂRLĂU,64265,1,FINAL,UAT,P,P_CE,"2024-06-10 12:52:53",1827,1794,1,22,10,1108,1076,0,22,10,1061,47,1953,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,ESTELNIC,65154,1,FINAL,UAT,P,P_CE,"2024-06-10 05:01:21",939,898,2,7,32,543,503,1,7,32,515,28,990,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,GHELINŢA,64318,2,FINAL,UAT,P,P_CE,"2024-06-13 14:55:17",4242,4073,2,12,155,2246,2079,0,12,155,2064,182,4568,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,GHIDFALĂU,64345,1,FINAL,UAT,P,P_CE,"2024-06-10 06:33:30",2152,2103,8,3,38,1115,1071,3,3,38,1066,49,2359,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,HĂGHIG,64390,1,FINAL,UAT,P,P_CE,"2024-06-10 18:49:36",1913,1834,1,40,38,1153,1081,0,34,38,1075,78,2007,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,456,263,160,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,ILIENI,64425,2,FINAL,UAT,P,P_CE,"2024-06-13 12:30:09",1811,1741,12,10,48,1258,1200,1,10,47,1229,29,1927,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,LEMNIA,64461,1,FINAL,UAT,P,P_CE,"2024-06-10 08:34:23",1559,1502,2,5,50,794,738,1,5,50,764,30,1653,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,MALNAŞ,64504,1,FINAL,UAT,P,P_CE,"2024-06-10 03:03:55",856,837,0,4,15,435,416,0,4,15,411,24,916,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,MERENI,65105,2,FINAL,UAT,P,P_CE,"2024-06-14 13:50:45",1031,983,4,9,35,597,553,0,9,35,582,15,1124,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,MICFALĂU,65139,1,FINAL,UAT,P,P_CE,"2024-06-10 04:58:50",1438,1425,6,3,4,744,737,0,3,4,720,24,1587,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,COVASNA,MOACŞA,64568,1,FINAL,UAT,P,P_CE,"2024-06-10 06:50:59",998,997,1,0,0,552,552,0,0,0,528,24,1084,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
