precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TURDA MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi","STAN GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","GHEORGHEI GHEORGHE-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CODREA NICOLAE-DOREL-PARTIDUL MIȘCAREA POPULARĂ-voturi"
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",407,SĂPÂNŢA,108945,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:21:27",1395,1355,0,1,39,854,814,0,1,39,837,14,1520,666,77,575,141,44
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",408,SĂPÂNŢA,108945,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:42:03",1341,1297,0,5,39,808,764,0,5,39,790,18,1400,592,67,554,122,47
