precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
20,GORJ,"LICEUL TEHNOLOGIC BUSTUCHIN",174,BUSTUCHIN,79406,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:28:30",908,884,0,17,7,611,587,0,17,7,592,19,900,289,232,89,12,100,159
20,GORJ,"ŞCOALA GENERALĂ POIANA-SECIURI",175,BUSTUCHIN,79406,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:23:07",711,676,1,21,13,488,466,1,8,13,474,14,800,312,217,25,40,134,58
20,GORJ,"ŞCOALA PRIMARĂ POIENIŢA",176,BUSTUCHIN,79406,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:12:15",318,297,0,13,8,233,212,0,13,8,226,7,400,167,128,16,4,21,57
20,GORJ,"ŞCOALA PRIMARĂ POJARU",177,BUSTUCHIN,79406,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:51:41",409,392,0,10,7,231,214,0,10,7,214,8,400,169,118,19,1,48,28
20,GORJ,"ŞCOALA PRIMARĂ VALEA POJARULUI",178,BUSTUCHIN,79406,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:52:52",344,325,0,15,4,226,207,0,15,4,219,7,395,169,127,12,1,61,18
