precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TRÎMBIŢAŞU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ALEXANDRU LAURENŢIU-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MATEI IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"CĂMINUL CULTURAL",154,GRINDU,93717,2,PART,PRCNCT,P,P_SV,"2024-06-13 15:43:53",752,725,5,19,3,497,474,1,19,3,480,17,836,339,358,119,3
23,IALOMIŢA,"CĂMINUL CULTURAL",155,GRINDU,93717,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:38:56",725,708,0,16,1,501,484,0,16,1,491,10,789,288,349,134,8
