precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
28,MUREŞ,"CĂMIN CULTURAL LEFAIA",327,CRĂIEŞTI,116340,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:46:08",48,43,0,5,0,41,36,0,5,0,39,2,50,9,25,1,4,9
28,MUREŞ,"CĂMIN CULTURAL MILAȘEL",328,CRĂIEŞTI,116340,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:36:58",142,132,1,5,4,100,91,0,5,4,94,6,150,50,72,8,12,2
28,MUREŞ,"PRIMARIA COMUNEI CRAIESTI",326,CRĂIEŞTI,116340,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:10",523,494,0,10,19,355,326,0,10,19,348,7,522,167,245,31,50,22
