precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OANCEA BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","POŞTOACĂ IONUŢ-VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","SIMA ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ENACHE VICTOR-MIHAI-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","LECA OCTAVIAN-CORNEL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
3,ARGEŞ,"SCOALA GIMNAZIALA BUGHEA DE JOS",257,"BUGHEA DE JOS",14922,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:38:08",1379,1375,0,4,0,854,850,0,4,0,835,19,1529,675,314,246,33,50,192
3,ARGEŞ,"SCOALA PRIMARA HULUBESTI",259,"BUGHEA DE JOS",14922,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:31",432,425,0,7,0,259,252,0,7,0,249,10,460,201,106,64,1,10,68
3,ARGEŞ,"SCOALA PRIMARA MLACI",258,"BUGHEA DE JOS",14922,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:44",602,597,0,4,1,418,413,0,4,1,396,22,640,222,292,45,5,16,38
