precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANTONIE SERAFIM-PARTIDUL NAȚIONAL LIBERAL-voturi","TROACĂ MIHĂIŢĂ-GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CORLAN ILIE-LAURENŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ELENA MIHAIL-FĂNICĂ-PARTIDUL S.O.S. ROMÂNIA-voturi"
20,GORJ,"CĂMIN CULTURAL CĂLUGĂRENI",258,PADEŞ,81095,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:39:11",890,869,0,8,13,618,597,0,8,13,579,25,1000,396,201,351,18,9
20,GORJ,"ȘCOALA GENERALĂ CERNA SAT",260,PADEŞ,81095,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:49:20",52,45,0,7,0,44,37,0,7,0,42,2,100,56,10,29,3,0
20,GORJ,"ȘCOALA GIMNAZIALĂ MOTRU-SEC",261,PADEŞ,81095,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:13:32",1652,1629,1,7,15,1145,1123,0,7,15,1109,22,1759,604,390,685,30,4
20,GORJ,"ȘCOALA GIMNAZIALĂ PADEȘ",259,PADEŞ,81095,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:31:21",1329,1289,1,27,12,915,876,0,27,12,843,41,1400,504,339,465,24,15
