precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"CĂMINUL CULTURAL COVRIGI",331,VĂGIULEŞTI,82779,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 18:40:43",933,883,0,15,35,653,603,0,15,35,639,14,981,326,94,239,262,44
20,GORJ,"ŞCOALA GENERALĂ NR.1 VÂGIULEŞTI",330,VĂGIULEŞTI,82779,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:13:12",1023,981,0,9,33,722,680,0,9,33,708,14,1100,378,48,306,317,37
