precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOLDOVEANU IOAN-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","IORDACHE LORENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NISTOR IRINA-MIHAELA-PARTIDUL SOCIAL DEMOCRAT-voturi","IONIŢĂ DANIEL-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","CUCU AURAŞ-MIHĂIŢĂ-PARTIDUL S.O.S. ROMÂNIA-voturi","MITITELU MAGDALENA-PARTIDUL NAȚIONAL DE CENTRU-voturi","RAŢ COSMIN-GICU-PARTIDUL OAMENILOR LIBERI-voturi","ENE BOGDAN-CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
31,PRAHOVA,"CASA DE CULTURĂ ”GEO BOGZA”- (HOL)",158,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:35:02",1277,1261,1,12,3,640,627,0,10,3,622,18,1400,760,219,26,276,18,21,3,21,38
31,PRAHOVA,"CASA TINERETULUI (HOL MARE)",161,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:15",961,954,0,7,0,392,385,0,7,0,375,17,1100,708,126,27,170,10,13,1,14,14
31,PRAHOVA,"CASA TINERETULUI (HOL MIC)",167,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:38:41",1372,1361,4,7,0,639,632,0,7,0,617,22,1500,861,197,20,303,10,25,5,29,28
31,PRAHOVA,"COLEGIUL NAŢIONAL”NICOLAE GRIGORESCU” - (SALA DE CLASA)",160,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,P,P_SV,"2024-06-10 18:03:17",1178,1167,1,9,1,588,578,0,9,1,577,11,1300,712,172,27,278,6,13,3,31,47
31,PRAHOVA,"COLEGIUL NAŢIONAL”NICOLAE GRIGORESCU” - (SALA DE CLASA)",159,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:20:18",1067,1058,3,5,1,534,528,0,5,1,515,19,1200,666,138,35,264,9,10,3,19,37
31,PRAHOVA,"COLEGIUL TEHNIC CONSTANTIN ISTRATI (CAMIN)",170,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:45:00",1559,1546,5,8,0,765,757,0,8,0,747,18,1700,935,226,19,365,20,25,3,37,52
31,PRAHOVA,"COLEGIUL TEHNIC CONSTANTIN ISTRATI - SALA DE CLASA)",171,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:27:07",1505,1493,5,5,2,721,715,0,5,1,704,17,1700,979,221,35,308,17,19,4,43,57
31,PRAHOVA,"COLEGIUL TEHNIC FORESTIER - (SALA DE SPORT)",168,"MUNICIPIUL CÂMPINA",131256,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:32:54",1108,1101,1,6,0,596,590,0,6,0,556,34,1200,604,166,16,277,13,18,2,21,43
31,PRAHOVA,"COLEGIUL TEHNIC FORESTIER - (SALA DE SPORT)",169,"MUNICIPIUL CÂMPINA",131256,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:16",1200,1184,0,14,2,598,582,0,14,2,584,14,1300,702,171,28,267,20,9,3,29,57
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL NR.3(SALA DE CLASA SI DE JOC)",179,"MUNICIPIUL CÂMPINA",131256,3,PART,PRCNCT,P,P_SV,"2024-06-10 17:44:47",1603,1593,3,7,0,673,665,1,7,0,652,21,1794,1121,269,29,238,11,28,5,25,47
