precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BANU-COJOCARU VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","DULGHERU VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","TIMOFTE CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CĂLIN GABRIELA-PARTIDUL S.O.S. ROMÂNIA-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR. 1",432,"CUZA VODĂ",63300,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:42",1731,1724,0,3,4,948,941,0,3,4,915,33,1893,945,131,710,42,32
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR. 1",431,"CUZA VODĂ",63300,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:40",1581,1572,0,8,1,887,878,0,8,1,861,26,1738,851,166,614,50,31
