precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ARION ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BICA VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","COMAN VALER-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
1,ALBA,"CLĂDIRE CĂMIN CULTURAL BERGHIN",200,BERGHIN,2988,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:24:37",680,666,2,4,8,312,300,0,4,8,299,13,700,388,9,153,137
1,ALBA,"CLĂDIRE CĂMIN CULTURAL GHIRBOM",201,BERGHIN,2988,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:26:10",389,385,1,3,0,253,250,0,3,0,247,6,400,147,7,190,50
1,ALBA,"CLĂDIRE CĂMIN CULTURAL HENIG",202,BERGHIN,2988,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:05:14",213,204,0,5,4,140,131,0,5,4,136,4,300,160,24,76,36
1,ALBA,"CLĂDIRE CĂMIN CULTURAL STRAJA",203,BERGHIN,2988,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:44",270,268,0,2,0,154,152,0,2,0,145,9,311,157,11,99,35
