precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DROCAN FABIAN-LAURENŢIU-COSTEL-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU VALENTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","STROESCU EUGEN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PULPĂ ILEANA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"ŞCOALA GENERALA BATOŢI",160,DEVESEL,111480,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:34",399,348,0,24,27,269,218,0,24,27,231,10,382,138,113,104,6,8
27,MEHEDINŢI,"ŞCOALA GENERALĂ BISTREŢU",161,DEVESEL,111480,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:03",478,373,0,84,21,346,241,0,84,21,338,8,404,58,173,156,4,5
27,MEHEDINŢI,"ŞCOALA GENERALĂ SCĂPĂU",162,DEVESEL,111480,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:40:47",766,697,0,35,34,434,365,0,35,34,423,11,763,329,252,166,2,3
27,MEHEDINŢI,"ȘCOALA GIMNAZIALĂ DEVESEL",159,DEVESEL,111480,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:57:15",1125,939,1,126,59,821,636,0,126,59,803,18,1098,277,381,407,12,3
