precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOSOARCĂ AURELIA-PARTIDUL SOCIAL DEMOCRAT-voturi","GIURESCU LIVIU-MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","STOICA VALENTIN-RĂZVAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL GRECI",182,GRECI,111916,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:56:02",547,419,0,94,34,433,305,0,94,34,419,14,498,65,211,185,23
27,MEHEDINŢI,"ŞCOALA GENERALĂ BÎLTANELE",183,GRECI,111916,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:47:42",370,290,0,56,24,284,204,0,56,24,284,0,346,62,115,167,2
27,MEHEDINŢI,"ŞCOALA GENERALĂ SĂLĂTRUC",184,GRECI,111916,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:30:20",191,154,0,25,12,143,106,0,25,12,136,7,178,35,55,79,2
