precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL IALOMIȚENILOR-voturi","IORDACHE DIANA-IZABELA-voturi"
23,IALOMIŢA,"GRĂDINIȚA CU PROGRAM NORMAL FRUMUȘICA",100,AXINTELE,100923,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:20:46",759,748,0,8,3,478,470,0,8,0,439,39,830,352,187,61,101,57,20,13
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”ROMAN IALOMIȚEANUL”",99,AXINTELE,100923,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:37:42",505,499,0,5,1,339,333,0,5,1,317,22,550,211,226,28,38,18,3,4
23,IALOMIŢA,"ȘCOALA PRIMARĂ HORIA",101,AXINTELE,100923,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:22:45",452,449,0,3,0,270,267,0,3,0,259,11,454,184,110,113,15,17,2,2
