precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi","DEJEU MIRCEA-voturi","CRISTE COSMIN-IONUŢ-voturi"
13,CLUJ,"CĂMINUL CULTURAL",570,NEGRENI,60169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:17:07",1279,1261,2,11,5,917,901,0,11,5,787,42,1380,462,0,207,470,61,11,38
13,CLUJ,"CASA DE CULTURĂ",571,NEGRENI,60169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:38:29",530,520,0,7,3,389,379,0,7,3,362,27,575,186,55,103,112,10,80,2
13,CLUJ,"SCOALA CU CLASELE I-IV",572,NEGRENI,60169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:18:45",96,89,0,6,1,72,65,0,6,1,69,3,101,29,9,22,28,9,0,1
