precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
1,ALBA,"COLEGIUL NAŢIONAL ”AVRAM IANCU” CÂMPENI",128,"ORAŞ CÂMPENI",1455,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:52:15",875,858,0,10,7,521,504,0,10,7,509,12,946,425,43,240,47,142,8,29
1,ALBA,"COLEGIUL NAŢIONAL ”AVRAM IANCU” CÂMPENI",127,"ORAŞ CÂMPENI",1455,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:15:44",827,819,0,7,1,480,472,0,7,1,463,17,903,423,48,204,46,119,6,40
1,ALBA,"PRIMĂRIA ORAŞULUI CÂMPENI",124,"ORAŞ CÂMPENI",1455,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:23:39",1220,1210,1,7,2,732,723,0,7,2,702,30,1334,602,48,358,59,167,12,58
1,ALBA,"ŞCOALA GIMNAZIALĂ CÂMPENI",125,"ORAŞ CÂMPENI",1455,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:14",820,806,0,13,1,509,495,0,13,1,501,8,890,381,45,263,52,101,8,32
1,ALBA,"ȘCOALA GIMNAZIALĂ CÂMPENI",126,"ORAŞ CÂMPENI",1455,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:38",773,766,0,4,3,452,445,0,4,3,442,10,846,394,33,220,49,111,10,19
1,ALBA,"ŞCOALA PRIMARĂ CERTEGE",130,"ORAŞ CÂMPENI",1455,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:26",327,310,0,10,7,160,143,0,10,7,154,6,351,191,5,100,11,26,2,10
1,ALBA,"ŞCOALA PRIMARĂ MIHOEŞTI",131,"ORAŞ CÂMPENI",1455,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:17:01",258,253,2,3,0,145,142,0,3,0,138,7,279,134,14,53,34,24,1,12
1,ALBA,"ŞCOALA PRIMARĂ VALEA BISTRII",132,"ORAŞ CÂMPENI",1455,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:23:57",368,358,1,8,1,236,227,0,8,1,228,8,395,159,11,36,51,75,3,52
1,ALBA,"ŞCOALA PRIMARĂ VÂRŞI",129,"ORAŞ CÂMPENI",1455,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:04:09",515,509,0,6,0,298,292,0,6,0,288,10,562,264,22,127,53,48,2,36
