precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BAZAC ELLY-MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MERLEA SILE-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MUSTĂŢEA GHEORGHE-MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","CONSTANTINESCU IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL FUNDATA",186,PERIEŢI,94161,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:37:31",401,393,0,7,1,219,211,0,7,1,207,12,430,211,13,73,104,17
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ PERIEȚI",185,PERIEŢI,94161,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:45",1053,1030,0,17,6,633,610,0,17,6,626,7,1140,507,25,76,492,33
23,IALOMIŢA,"ȘCOALA PRIMARĂ MISLEANU",187,PERIEŢI,94161,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:45:43",686,667,0,10,9,401,382,0,10,9,393,8,740,339,17,107,265,4
23,IALOMIŢA,"ȘCOALA PRIMARĂ PĂLTINIȘU",188,PERIEŢI,94161,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:07:04",931,920,0,8,3,538,527,0,8,3,515,16,1016,485,19,159,315,22
