precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEAGU IOANA-PARTIDUL NAȚIONAL LIBERAL-voturi","MĂCINIC IONUŢ-FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CERNAT ION-PARTIDUL SOCIAL DEMOCRAT-voturi","ALEXE IOAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","MARIN PETRE-FORȚA DREPTEI-voturi","PANDELE ION-LIVIU-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
31,PRAHOVA,"CABANA DE VANATOARE",607,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:06:48",92,83,0,9,0,45,36,0,9,0,43,2,100,55,35,2,4,1,1,0
31,PRAHOVA,"CAMIN CULTURAL",601,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:08",1129,1117,0,12,0,594,582,0,12,0,577,17,1200,606,353,33,150,15,20,6
31,PRAHOVA,"COLEGIUL AGRICOL GHEORGHE IONESCU SISESTI",609,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:18",769,763,0,5,1,335,329,0,5,1,328,7,800,465,212,31,48,16,15,6
31,PRAHOVA,"GRADINITA COSLEGI",602,"VALEA CĂLUGĂREASCĂ",135949,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:37:56",539,532,0,7,0,280,273,0,7,0,269,11,600,320,228,6,24,8,1,2
31,PRAHOVA,"GRADINITA CU PROGRAM NORMAL CASUTA FERMECATA SAT RACHIERI",605,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:05:41",1204,1197,0,7,0,638,631,0,7,0,596,42,1300,662,371,23,193,6,2,1
31,PRAHOVA,"GRADINITA DIRVARI",603,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:02",480,473,0,7,0,281,274,0,7,0,278,3,500,219,254,3,16,2,2,1
31,PRAHOVA,"GRADINITA RADILA",606,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:33:23",241,233,0,5,3,127,119,0,5,3,122,5,300,173,87,4,16,13,2,0
31,PRAHOVA,"SCOALA GIMNAZIALA ION IONESCU VALEA CALUGAREASCA",600,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:41:11",933,933,0,0,0,435,435,0,0,0,424,11,1000,565,327,20,53,12,10,2
31,PRAHOVA,"SCOALA GIMNAZIALA ION IONESCU VALEA CALUGAREASCA",599,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:01:44",1358,1348,4,5,1,629,623,0,5,1,612,17,1574,945,443,19,84,45,19,2
31,PRAHOVA,"SCOAL GIMNAZIALA NICOVANI",608,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:20",1155,1151,0,4,0,568,564,0,4,0,547,21,1300,732,333,50,118,8,35,3
31,PRAHOVA,"SCOAL PRIMARA PANTAZI",604,"VALEA CĂLUGĂREASCĂ",135949,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:46:33",946,941,0,5,0,412,407,0,5,0,403,9,1000,588,320,18,49,9,5,2
