precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"COLEGIUL NAŢIONAL ”LUCIAN BLAGA” SEBEŞ",103,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:32:01",1602,1585,12,5,0,832,827,0,5,0,807,25,1748,916,125,150,532
1,ALBA,"COLEGIUL NAŢIONAL ”LUCIAN BLAGA” SEBEŞ",102,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:37:49",1234,1212,1,10,11,661,640,0,10,11,627,23,1348,698,120,120,387
1,ALBA,"LICEUL CU PROGRAM SPORTIV SEBEŞ",98,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:35",1393,1386,2,3,2,644,639,0,3,2,621,23,1560,916,115,120,386
1,ALBA,"LICEUL CU PROGRAM SPORTIV SEBEŞ",100,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:11:52",1278,1261,10,7,0,586,579,0,7,0,577,9,1408,822,148,127,302
1,ALBA,"LICEUL CU PROGRAM SPORTIV SEBEŞ",99,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:29:42",1442,1410,8,16,8,697,672,1,16,8,675,22,1568,871,119,126,430
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",97,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:54",1035,1021,2,12,0,470,458,0,12,0,458,12,1140,670,65,122,271
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",96,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:38:49",1072,1058,5,8,1,547,538,0,8,1,530,17,1164,617,118,174,238
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",94,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:07",1495,1477,1,14,3,692,675,0,14,3,663,29,1636,944,21,123,519
1,ALBA,"LICEUL TEHNOLOGIC SEBEŞ",95,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:14:31",1626,1606,7,10,3,818,805,0,10,3,800,18,1780,962,158,169,473
1,ALBA,"ŞCOALA GIMNAZIALĂ LANCRĂM",108,"MUNICIPIUL SEBEŞ",1874,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:32:59",1437,1415,3,10,9,745,726,0,10,9,715,30,1568,823,77,122,516
1,ALBA,"ŞCOALA GIMNAZIALĂ ”MIHAIL KOGĂLNICEANU” SEBEŞ",106,"MUNICIPIUL SEBEŞ",1874,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:15",1076,1071,1,4,0,420,416,0,4,0,411,9,1180,760,65,173,173
