precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN DANIEL-DRAGOŞ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVANCEA VALENTIN-ALIANȚA ELECTORALĂ PSD PNL-voturi","ICHIM IULIAN-GABRIEL-ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","SECHELARIU SERGIU-PARTIDUL VERDE-voturi","STANCIU-VIZITEU LUCIAN-DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BRĂILA ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MANOLACHE CRISTINEL-PARTIDUL ECOLOGIST ROMÂN-voturi","GHINGHEŞ CRISTIAN-PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","GĂZDARU ADRIAN-voturi","CHIRILESCU DORIN-voturi"
4,BACĂU,"GRADINITA CU PROGRAM PRELUNGIT NR.29",32,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:33:27",1006,1001,0,5,0,451,446,0,5,0,436,10,1100,654,11,68,3,50,221,9,31,21,10,12
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.31",83,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:17:58",1029,1020,0,9,0,400,391,0,9,0,392,8,1100,700,23,96,4,41,148,8,43,19,2,8
4,BACĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR.33",112,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:07",1220,1214,0,6,0,527,521,0,6,0,513,14,1400,873,24,168,1,51,193,5,37,23,6,5
4,BACĂU,"GRĂDNIŢA CU PROGRAM PRELUNGIT NR.30",91,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:18",1010,996,2,11,1,399,386,1,11,1,391,1,1098,706,9,58,3,23,75,10,195,15,2,1
4,BACĂU,"GRĂDNIŢA CU PROGRAM PRELUNGIT NR.30",92,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:23:40",915,909,0,6,0,378,372,0,6,0,368,10,1000,622,8,51,4,21,85,10,162,20,3,4
4,BACĂU,"LICEUL CU PROGRAM SPORTIV",115,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:40:27",1112,1104,0,8,0,526,518,0,8,0,519,7,1200,674,29,158,3,38,216,5,35,29,4,2
4,BACĂU,"LICEUL CU PROGRAM SPORTIV",113,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:44",1008,1004,0,4,0,419,415,0,4,0,412,7,1100,681,20,112,2,38,149,12,32,37,5,5
4,BACĂU,"LICEUL CU PROGRAM SPORTIV",114,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:18",1150,1140,3,7,0,507,500,0,7,0,493,14,1309,802,33,143,3,49,191,6,27,29,3,9
4,BACĂU,"LICEUL TEHNOLOGIC ”DUMITRU MANGERON”",68,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:54:39",1637,1628,1,8,0,501,493,0,8,0,475,18,1799,1306,32,96,7,62,167,11,66,13,7,14
4,BACĂU,"LICEUL TEHNOLOGIC ”DUMITRU MANGERON”",67,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:22",1545,1535,5,5,0,474,469,0,5,0,460,14,1707,1233,33,86,2,57,179,20,54,16,5,8
4,BACĂU,"LICEUL TEHNOLOGIC ”DUMITRU MANGERON”",66,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:20:07",1336,1329,0,7,0,527,520,0,7,0,520,7,1500,973,38,127,6,51,200,14,46,26,5,7
4,BACĂU,"LICEUL TEHNOLOGIC ”DUMITRU MANGERON”",65,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:09:49",1298,1294,0,2,2,504,500,0,2,2,491,9,1400,900,18,100,4,39,212,20,60,26,3,9
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU RAREȘ”",121,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:25:42",1537,1530,1,6,0,639,633,0,6,0,622,17,1700,1061,37,125,8,118,215,24,51,21,10,13
4,BACĂU,"LICEUL TEHNOLOGIC ”PETRU RAREȘ”",122,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:19",1334,1321,6,7,0,493,486,0,7,0,476,17,1500,1007,35,103,3,97,148,15,41,27,1,6
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ALECU RUSSO”",101,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:14:51",1732,1723,3,6,0,587,581,0,6,0,582,5,1900,1312,28,98,5,62,198,16,131,33,0,11
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ALECU RUSSO”",99,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:43",1582,1581,0,1,0,463,462,0,1,0,447,16,1800,1337,28,90,5,41,103,13,150,13,3,1
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”ALECU RUSSO”",100,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:44",1534,1527,1,6,0,477,471,0,6,0,464,13,1704,1227,17,97,13,36,114,10,155,16,2,4
4,BACĂU,"SCOALA GIMNAZIALĂ ”ALEXANDRU CEL BUN”",45,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:46:59",1197,1173,16,8,0,564,556,0,8,0,541,23,1304,740,26,149,3,53,213,7,29,33,5,23
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”",24,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:54",1175,1163,6,6,0,535,529,0,6,0,520,15,1300,765,23,170,3,48,187,14,31,33,2,9
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”COSTANTIN PLATON”",116,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:08",1322,1317,0,5,0,576,571,0,5,0,557,19,1500,924,28,149,5,58,223,6,42,31,3,12
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”COSTANTIN PLATON”",118,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:12",1547,1532,11,4,0,669,665,0,4,0,647,22,1700,1031,24,172,3,67,237,10,69,36,9,20
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”COSTANTIN PLATON”",117,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:02:31",1266,1257,4,5,0,562,556,1,5,0,553,9,1400,837,26,150,0,83,211,10,36,21,6,10
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",60,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:51",1286,1283,0,3,0,497,494,0,3,0,483,14,1400,903,26,88,7,60,177,26,57,28,12,2
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",58,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:39",1244,1240,0,4,0,522,518,0,4,0,498,24,1400,878,25,103,10,65,186,16,60,22,4,7
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",59,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:47",1345,1341,0,4,0,544,540,0,4,0,532,12,1508,964,31,127,6,56,207,14,51,30,5,5
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",61,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:25",1581,1577,0,4,0,730,726,0,4,0,705,25,1800,1070,30,161,7,62,302,22,74,30,7,10
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”DOMNIȚA MARIA”",57,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:16:28",1533,1527,3,3,0,637,634,0,3,0,588,49,1700,1063,48,119,17,89,161,32,73,26,13,10
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”DR.ALEXANDRU ŞAFRAN”",62,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:35:24",1848,1844,0,4,0,406,402,0,4,0,392,10,2000,1594,30,95,2,51,136,14,42,13,5,4
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”DR.ALEXANDRU ŞAFRAN”",63,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:45",1598,1593,1,4,0,543,539,0,4,0,526,17,1800,1257,35,131,4,63,184,18,62,20,1,8
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",53,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:13:05",1240,1230,3,6,1,412,405,0,6,1,400,12,1400,988,27,110,0,47,128,13,43,24,4,4
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",52,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:47",1167,1161,1,5,0,472,467,0,5,0,458,14,1300,828,21,113,10,57,163,13,55,18,5,3
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",55,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:36:02",1143,1134,5,4,0,405,401,0,4,0,397,8,1300,895,25,99,10,60,135,7,41,12,5,3
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”GEORGE BACOVIA”",56,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:58:55",1153,1149,0,4,0,436,432,0,4,0,428,8,1320,884,25,80,1,48,180,11,59,15,7,2
