precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN DANIEL-DRAGOŞ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IVANCEA VALENTIN-ALIANȚA ELECTORALĂ PSD PNL-voturi","ICHIM IULIAN-GABRIEL-ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi","SECHELARIU SERGIU-PARTIDUL VERDE-voturi","STANCIU-VIZITEU LUCIAN-DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BRĂILA ŞTEFAN-PARTIDUL S.O.S. ROMÂNIA-voturi","MANOLACHE CRISTINEL-PARTIDUL ECOLOGIST ROMÂN-voturi","GHINGHEŞ CRISTIAN-PARTIDUL SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE-voturi","GĂZDARU ADRIAN-voturi","CHIRILESCU DORIN-voturi"
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",20,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:46:07",1989,1973,9,7,0,820,813,0,7,0,809,11,2200,1379,51,147,5,58,337,30,85,42,5,49
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",17,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:57",1313,1302,0,11,0,480,469,0,11,0,471,9,1400,920,40,90,3,51,198,11,44,21,4,9
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",18,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:07",1327,1321,0,6,0,488,482,0,6,0,481,7,1516,1028,31,96,4,47,230,11,33,14,4,11
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",19,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:49:26",1536,1525,7,4,0,604,600,0,4,0,586,18,1700,1096,36,106,4,78,226,20,55,32,9,20
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”MIRON COSTIN”",108,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:50",1317,1311,1,5,0,531,526,0,5,0,510,18,1516,988,29,120,9,48,199,14,36,44,3,8
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”MIRON COSTIN”",107,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:38:09",1189,1184,0,5,0,390,385,0,5,0,382,8,1300,910,26,76,3,59,112,22,51,24,6,3
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”MIRON COSTIN”",109,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:07:28",1274,1272,0,2,0,524,522,0,2,0,512,12,1419,895,36,145,0,52,183,7,54,26,2,7
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",84,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:11:07",1221,1217,0,4,0,481,477,0,4,0,471,10,1400,919,23,123,3,33,200,4,59,15,4,7
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",86,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:25",1301,1295,2,4,0,524,520,0,4,0,507,17,1408,884,41,121,2,53,171,13,55,24,12,15
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",85,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:51:56",1077,1072,0,5,0,384,379,0,5,0,376,8,1200,816,24,85,0,31,162,7,42,12,5,8
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICOLAE IORGA”",87,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:33:54",1348,1344,0,3,1,504,500,0,3,1,492,12,1500,996,34,107,2,75,175,15,50,21,4,9
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”NICU ENEA”",123,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:47:41",1358,1346,4,8,0,534,525,1,8,0,524,10,1500,966,24,110,6,58,232,17,38,27,3,9
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”NICU ENEA”",125,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:16:40",1561,1550,1,10,0,686,675,1,10,0,663,23,1700,1014,37,133,5,69,309,20,55,30,2,3
4,BACĂU,"ȘCOALA GIMNAZIALĂ ”NICU ENEA”",124,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:39:02",1317,1306,2,9,0,563,554,0,9,0,549,14,1413,850,26,134,4,70,196,18,46,36,10,9
4,BACĂU,"ŞCOALA GIMNAZIALĂ NR.10",72,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:18:41",1256,1249,0,7,0,531,524,0,7,0,518,13,1404,873,24,125,4,57,182,14,71,29,3,9
4,BACĂU,"ȘCOALA GIMNAZIALĂ NR.10",74,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:49",749,747,2,0,0,327,327,0,0,0,323,4,800,473,16,66,8,25,117,6,65,15,3,2
4,BACĂU,"ȘCOALA GIMNAZIALĂ NR.10",73,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:36:29",1147,1139,2,6,0,502,496,0,6,0,498,4,1300,798,19,122,4,61,177,12,60,29,2,12
4,BACĂU,"ŞCOALA GIMNAZIALĂ NR. 9",1,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:26",1621,1606,9,6,0,633,627,0,6,0,617,16,1700,1067,35,153,1,63,261,13,58,21,5,7
4,BACĂU,"ŞCOALA GIMNAZIALĂ NR. 9",2,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:04",1208,1204,1,3,0,495,492,0,3,0,475,20,1300,805,28,99,0,57,168,8,65,26,8,16
4,BACĂU,"SCOALA GIMNAZIALĂ ”OCTAVIAN VOICU”",79,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:46:20",1181,1174,1,5,1,433,427,0,5,1,424,9,1300,867,32,88,2,65,172,10,44,8,2,1
4,BACĂU,"SCOALA GIMNAZIALĂ ”OCTAVIAN VOICU”",77,"MUNICIPIUL BACĂU",20297,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:13:57",1087,1079,4,4,0,398,394,0,4,0,388,10,1204,806,26,93,2,42,148,8,41,15,2,11
4,BACĂU,"SCOALA GIMNAZIALĂ ”OCTAVIAN VOICU”",78,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:36",965,959,0,6,0,372,366,0,6,0,359,13,1100,728,18,90,3,41,122,8,44,21,3,9
4,BACĂU,"SCOALA GIMNAZIALĂ ”OCTAVIAN VOICU”",80,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:11",1106,1098,1,7,0,417,410,0,7,0,407,10,1200,783,24,85,3,36,178,16,46,7,3,9
4,BACĂU,"ŞCOALA PRIMARĂ NR.1",75,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:20",1770,1760,2,8,0,382,374,0,8,0,370,12,2000,1618,29,58,6,56,113,15,70,14,2,7
4,BACĂU,"ŞCOALA PRIMARĂ NR.1",76,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:41",1564,1556,2,6,0,354,348,0,6,0,334,20,1700,1346,27,67,1,48,90,22,46,25,2,6
4,BACĂU,"UNIVERSITATEA ”VASILE ALECSANDRI” - CANTINĂ STUDENȚEASCĂ",90,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:55",836,826,4,6,0,319,313,0,6,0,309,10,900,581,13,72,1,35,99,8,58,10,5,8
4,BACĂU,"UNIVERSITATEA ”VASILE ALECSANDRI” - CORPUL A",89,"MUNICIPIUL BACĂU",20297,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:09:29",941,931,4,6,0,380,374,0,6,0,370,10,1000,620,18,109,3,31,141,5,31,20,5,7
