precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:54:53",1340,1260,5,18,57,961,886,0,18,57,923,38,1443,482,24,873,24,2
19,GIURGIU,"GRĂDINIŢA CU PN NR.3 NEAJLOV",95,CLEJANI,101984,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:25",1251,1142,1,60,48,1020,912,0,60,48,964,56,1300,280,23,911,19,11
