precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ABRUDAN CĂLIN-ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi","GRAMA SORIN-ADIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ANDEA SIMEON-LAURENŢIU-AURELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
2,ARAD,"CĂMINUL CULTURAL DIN CARTIERUL TRAIAN",129,"ORAŞ INEU",9538,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:16:21",1351,1342,2,1,6,827,818,2,1,6,811,16,1478,651,706,34,71
2,ARAD,"COLEGIUL ”MIHAI VITEAZUL” INEU",128,"ORAŞ INEU",9538,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:21:31",1560,1544,4,8,4,869,857,0,8,4,851,18,1705,836,693,47,111
2,ARAD,"GRĂDINIȚA CU PROGRAM NORMAL CU 4 (PATRU) SĂLI DE GRUPĂ",127,"ORAŞ INEU",9538,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:22:13",1511,1490,3,18,0,900,881,1,18,0,851,49,1663,763,744,41,66
2,ARAD,"SALA DE SPORT",130,"ORAŞ INEU",9538,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:02:10",1291,1273,2,10,6,715,698,1,10,6,699,16,1404,689,553,40,106
2,ARAD,"ȘCOALA GIMNAZIALĂ INEU",126,"ORAŞ INEU",9538,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:55",1393,1375,2,12,4,782,766,0,12,4,750,16,1517,751,589,34,127
2,ARAD,"ŞCOALA GIMNAZIALĂ MOCREA",131,"ORAŞ INEU",9538,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:32:39",585,572,0,13,0,299,286,0,13,0,290,9,640,341,253,11,26
