precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LĂPUŞNEANU COSTEL-PARTIDUL NAȚIONAL LIBERAL-voturi","PATRICHE ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL CU DOUĂ SĂLI DE GRUPĂ",435,VÂRLEZI,77509,3,PART,PRCNCT,P,P_SV,"2024-06-11 13:20:37",859,787,0,24,48,552,480,0,24,48,541,11,807,255,219,322
18,GALAŢI,"ȘCOALA PRIMARĂ CRĂIEȘTI",436,VÂRLEZI,77509,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:12:31",653,624,0,5,24,410,381,0,5,24,398,12,800,390,146,252
