precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","HEGEDÜS HAJNALKA-KATALIN-voturi"
5,BIHOR,"ŞCOALA GIMNAZIALĂ ”JAKO ZSIGMOND”",528,ROŞIORI,32187,5,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:58:39",1108,1084,2,6,16,720,697,1,6,16,701,19,1217,497,574,37,13,41,12,24
5,BIHOR,"ŞCOALA GIMNAZIALĂ NR.1",529,ROŞIORI,32187,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:23",813,804,0,5,4,449,440,0,5,4,429,20,898,449,28,331,22,2,40,6
5,BIHOR,"ŞCOALA PRIMARĂ NR.1",530,ROŞIORI,32187,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:29",377,362,0,7,8,258,243,0,7,8,234,24,413,155,204,2,2,17,2,7
