precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENACHE NECULAI-UNIUNEA SALVAȚI ROMÂNIA-voturi","BORŢUN AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi","APOSTOL IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DURA FLORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","LEONTE DORU-PARTIDUL ECOLOGIST ROMÂN-voturi"
4,BACĂU,"CENTRU DE SOCIALIZARE PENTRU PERSOANE VÂRSNICE DIN SAT CONȚEȘTI",555,SASCUT,25068,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:17:32",422,408,0,9,5,238,224,0,9,5,218,20,500,262,5,93,107,7,6
4,BACĂU,"LICEUL JACQUES MENACHEN ELIAS SASCUT",553,SASCUT,25068,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:52:43",1131,1119,0,9,3,517,505,0,9,3,489,28,1200,683,15,178,276,11,9
4,BACĂU,"LICEUL JACQUES MENACHEN ELIAS SASCUT",552,SASCUT,25068,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:42:57",1491,1478,1,10,2,641,629,0,10,2,611,28,1500,861,27,228,326,17,13
4,BACĂU,"SCOALA CU CLASELE I-VIII NR 1 PANCESTI",557,SASCUT,25068,1,PART,PRCNCT,P,P_SV,"2024-06-11 00:02:33",1249,1241,0,4,4,577,569,0,4,4,540,37,1400,823,7,274,232,11,16
4,BACĂU,"SCOALA CU CLASELE I-VIII NR 1 PANCESTI",556,SASCUT,25068,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:06",849,831,1,11,6,429,412,0,11,6,403,26,900,471,6,187,193,5,12
4,BACĂU,"SCOALA CU CLASELE I-VIII SATUL SASCUT-SAT",558,SASCUT,25068,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:15",801,789,0,0,12,405,393,0,0,12,385,20,900,495,8,150,218,7,2
4,BACĂU,"SCOALA CU CLASELE I-VIII SATUL SASCUT-SAT",559,SASCUT,25068,2,PART,PRCNCT,P,P_SV,"2024-06-10 19:51:25",810,800,0,0,10,430,420,0,0,10,396,20,896,480,2,145,229,14,6
4,BACĂU,"SCOALA GENERALA CU CLASELE I-IV BERESTI",554,SASCUT,25068,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:49",1113,1098,1,7,7,615,601,0,7,7,590,25,1200,585,72,218,289,8,3
