county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","GURGU MARIAN-voturi","GURGU MARIAN-mandate-faza-1","GURGU MARIAN-mandate-faza-2","ZEGOICEA CRISTIAN-voturi","ZEGOICEA CRISTIAN-mandate-faza-1","ZEGOICEA CRISTIAN-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-1","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-2","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-1","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-mandate-faza-2","FORUMUL CEHILOR DIN ROMÂNIA-voturi","FORUMUL CEHILOR DIN ROMÂNIA-mandate-faza-1","FORUMUL CEHILOR DIN ROMÂNIA-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","BĂRBULESCU CRISTIAN-VALENTIN-voturi","BĂRBULESCU CRISTIAN-VALENTIN-mandate-faza-1","BĂRBULESCU CRISTIAN-VALENTIN-mandate-faza-2","GOGAN MARINICĂ-voturi","GOGAN MARINICĂ-mandate-faza-1","GOGAN MARINICĂ-mandate-faza-2","PARTIDUL REVOLUȚIONAR CREȘTIN DEMOCRAT-voturi","PARTIDUL REVOLUȚIONAR CREȘTIN DEMOCRAT-mandate-faza-1","PARTIDUL REVOLUȚIONAR CREȘTIN DEMOCRAT-mandate-faza-2","UNIUNEA SÂRBILOR DIN ROMÂNIA-voturi","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-1","UNIUNEA SÂRBILOR DIN ROMÂNIA-mandate-faza-2","BĂLOI CONSTANTIN-voturi","BĂLOI CONSTANTIN-mandate-faza-1","BĂLOI CONSTANTIN-mandate-faza-2","GUSTEA TITU-voturi","GUSTEA TITU-mandate-faza-1","GUSTEA TITU-mandate-faza-2","GUSTEA DANIEL-COSMIN-voturi","GUSTEA DANIEL-COSMIN-mandate-faza-1","GUSTEA DANIEL-COSMIN-mandate-faza-2"
27,MEHEDINŢI,JIANA,112548,1,FINAL,UAT,CL,CL_CE,"2024-06-10 06:45:44",3841,3628,0,20,193,1948,1735,0,20,193,1917,31,4035,2087,95,134,153,141,81,0,0,1836,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,LIVEZILE,112600,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:35:12",1360,1105,0,213,42,1006,751,0,213,42,967,39,1249,243,48,67,77,107,51,0,0,752,7,0,73,0,1,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,MALOVĂŢ,112664,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:50:28",2371,2097,0,236,38,1603,1329,0,236,38,1535,61,2581,985,76,107,122,139,216,1,0,1191,8,1,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,"MUNICIPIUL DROBETA-TURNU SEVERIN",109773,1,FINAL,UAT,CL,CL_CE,"2024-06-11 18:52:43",83753,82905,87,557,204,32981,32214,8,556,203,31536,1345,91975,59057,1576,2207,2522,1424,6730,4,1,15269,10,1,5282,3,0,2635,1,1,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,"MUNICIPIUL ORŞOVA",110063,1,FINAL,UAT,CL,CL_CE,"2024-06-10 19:35:02",10131,9864,10,210,47,4714,4455,2,210,47,4566,148,10994,6260,228,319,365,250,1898,7,1,1298,5,0,1057,4,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,OBÂRŞIA-CLOŞANI,110027,1,FINAL,UAT,CL,CL_CE,"2024-06-10 05:26:57",849,782,0,52,15,687,620,0,52,15,595,25,872,252,29,41,47,65,429,6,0,41,0,1,62,0,1,0,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,"OBÂRŞIA DE CÂMP",112744,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:43:31",1558,1312,2,127,117,1138,893,1,127,117,1093,45,1513,374,54,76,87,99,233,2,0,677,6,1,78,0,1,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,OPRIŞOR,112771,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:14:04",1646,1458,1,82,105,1127,939,1,82,105,1012,74,1699,609,50,70,80,92,376,4,0,439,4,1,81,0,1,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,"ORAŞ BAIA DE ARAMĂ",109924,1,FINAL,UAT,CL,CL_CE,"2024-06-12 11:37:53",4527,4449,0,51,27,2704,2626,0,51,27,2589,111,4839,2139,129,181,207,172,774,4,1,1186,6,1,412,2,0,217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MEHEDINŢI,"ORAŞ STREHAIA",110116,1,FINAL,UAT,CL,CL_CE,"2024-06-10 17:09:32",8994,8737,8,167,82,5316,5066,1,167,82,5022,252,9646,4372,251,351,401,264,1410,5,0,3088,11,1,227,0,0,264,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
