precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TELEHOI FLORENTINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","EFTIMIE MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","IONAŞCU GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi"
14,CONSTANŢA,"ŞCOALA GIMNAZIALĂ NR.1 MIRCEA VODĂ",497,"MIRCEA VODĂ",62280,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:45",1766,1747,0,5,14,969,950,0,5,14,929,40,1920,951,172,219,538
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.2 SATU NOU",499,"MIRCEA VODĂ",62280,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:52",1362,1352,1,2,7,791,782,0,2,7,765,26,1492,701,46,229,490
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.2 SATU NOU",498,"MIRCEA VODĂ",62280,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:05",1071,1061,0,5,5,614,604,0,5,5,584,25,1171,562,26,171,387
