precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
38,TULCEA,ŞCOALA,85,BEŞTEPE,161552,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:47:11",66,61,0,5,0,40,35,0,5,0,35,5,64,24,15,12,5,3
38,TULCEA,"ŞCOALA GIMNAZIALĂ BEŞTEPE",84,BEŞTEPE,161552,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:52:04",1340,1311,2,1,26,620,593,0,1,26,600,19,1472,853,142,249,152,57
