precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
32,"SATU MARE",GRADINITA,322,TURULUNG,139214,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:55:18",156,146,1,5,4,99,90,0,5,4,93,6,166,67,63,3,23,2,2
32,"SATU MARE",PRIMĂRIA,319,TURULUNG,139214,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:54:54",941,920,3,10,8,480,461,1,10,8,467,13,1014,534,173,4,282,5,3
32,"SATU MARE","SCOALA GIMNAZIALA DRAGUSENI",321,TURULUNG,139214,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:18:00",1161,1146,3,3,9,416,402,2,3,9,392,24,1260,844,29,154,11,154,44
32,"SATU MARE","SCOALA GIMNAZIALA TURULUNG",320,TURULUNG,139214,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:44:02",1250,1233,2,8,7,725,710,0,8,7,677,48,1360,635,370,9,289,6,3
