precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","DOLETE ANGELICA-ANA-voturi"
23,IALOMIŢA,"ŞCOALA DIN SATUL SLĂTIOARELE",166,JILAVELE,103960,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:52:58",289,275,0,7,7,188,174,0,7,7,178,10,310,122,122,36,20
23,IALOMIŢA,"ŞCOALA NR.1 JILAVELE",164,JILAVELE,103960,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:37:46",1114,1088,1,6,19,682,656,1,6,19,654,28,1219,537,426,193,35
23,IALOMIŢA,"ŞCOALA NR.2 JILAVELE",165,JILAVELE,103960,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:55:29",1182,1150,0,13,19,738,706,0,13,19,706,32,1280,542,395,264,47
