precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN ELENA-LOREDANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NECULA GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","STOICA FLORIN-NICOLAIE-PARTIDUL SOCIAL DEMOCRAT-voturi","CĂTUNEANU NICOLAE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
31,PRAHOVA,"GRADINITA DE COPII",324,BĂTRÂNI,136278,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:51:38",759,722,0,13,24,515,478,0,13,24,496,19,800,285,29,62,380,25
31,PRAHOVA,"SCOALA GIMNAZIALA, COMUNA BATRANI",323,BĂTRÂNI,136278,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:49:18",895,864,0,9,22,565,534,0,9,22,551,14,931,366,26,73,423,29
