precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLOREA ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SPÂNU FĂNEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BISERICĂ NICU-PARTIDUL SOCIAL DEMOCRAT-voturi","JIPA IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MITU NICOLAIE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
23,IALOMIŢA,"ŞCOALA GENERALA LUCIU",160,"GURA IALOMIŢEI",180046,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:13",1065,1061,2,2,0,678,675,1,2,0,664,14,1104,426,169,258,214,17,6
23,IALOMIŢA,"SCOALA GIMNAZIALA CONSTANTIN GURGU NR. 1",159,"GURA IALOMIŢEI",180046,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:50:26",951,945,0,4,2,657,651,0,4,2,653,4,1100,443,287,74,203,67,22
