precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
37,TIMIŞ,"GRĂDINIȚA CU P.N. BENCECU DE JOS",520,PIŞCHIA,158181,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:22:31",329,318,0,7,4,232,221,0,7,4,227,5,400,168,86,11,123,3,4
37,TIMIŞ,"GRĂDINIȚA CU P.N.MURANI NR.383",522,PIŞCHIA,158181,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:17:08",515,503,0,6,6,343,331,0,6,6,328,15,581,237,136,13,158,10,11
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ BENCECU DE SUS",521,PIŞCHIA,158181,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:52",761,747,0,5,9,441,427,0,5,9,430,11,804,363,158,32,199,37,4
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ PIŞCHIA",519,PIŞCHIA,158181,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:41",1186,1140,4,21,21,749,705,2,21,21,733,16,1200,451,257,49,390,19,18
