precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL JEBUCU",68,ALMAŞU,139982,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:44:18",333,277,0,27,29,286,230,0,27,29,278,8,323,37,9,16,16,5,230,1,1
33,SĂLAJ,"CĂMINUL CULTURAL PETRINZEL",70,ALMAŞU,139982,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:19:49",100,85,1,14,0,72,57,1,14,0,69,3,125,53,7,5,4,8,44,0,1
33,SĂLAJ,"CĂMINUL CULTURAL STANA",71,ALMAŞU,139982,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:53:13",104,84,0,16,4,80,60,0,16,4,78,2,125,45,2,1,10,4,60,1,0
33,SĂLAJ,"PRIMĂRIA COMUNEI ALMAŞU",67,ALMAŞU,139982,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:58:12",780,713,0,31,36,574,507,0,31,36,525,49,715,141,149,40,121,67,104,12,32
33,SĂLAJ,"ŞCOALA CU CLASELE I-IV ŢĂUDU",72,ALMAŞU,139982,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:32:42",105,88,0,15,2,86,69,0,15,2,84,2,147,61,47,6,17,3,5,2,4
33,SĂLAJ,"SCOALA PRIMARA MESTEACANU",69,ALMAŞU,139982,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:32:35",273,249,0,18,6,200,176,0,18,6,178,22,275,75,60,7,76,4,23,6,2
