precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA ETOCRATĂ PENTRU REFORMĂ-voturi"
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1 SLOBOZIA CORNI",313,GHIDIGENI,76406,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:38:32",647,640,0,5,2,341,334,0,5,2,331,10,715,374,178,108,18,27,0
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ION CREANGĂ TĂLPIGI",314,GHIDIGENI,76406,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:33:11",1648,1639,0,5,4,951,942,0,5,4,903,48,1810,859,681,167,27,15,13
18,GALAŢI,"ŞCOALA GIMNAZIALĂ NR.1 GHIDIGENI",310,GHIDIGENI,76406,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:06",1722,1712,0,6,4,852,842,0,6,4,822,30,1885,1033,452,325,29,14,2
18,GALAŢI,"ȘCOALA PRIMARĂ NR. 1 GÂRBOVĂȚ",311,GHIDIGENI,76406,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:06:44",233,220,0,13,0,115,102,0,13,0,114,1,235,120,73,38,3,0,0
18,GALAŢI,"ȘCOALA PRIMARĂ NR. 1 GEFU",312,GHIDIGENI,76406,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:32",892,881,0,9,2,567,556,0,9,2,534,33,993,426,275,238,19,1,1
