precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ILIESCU ION NARCIS-PARTIDUL SOCIAL DEMOCRAT-voturi","STROESCU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","FÎŞCĂ SORIN-CRISTIAN-BLOCUL SUVERANIST ROMÂN-voturi","ROBESCU IOANA-DORINA-FORȚA DREPTEI-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL BALOTA",347,RACOVIŢA,172509,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:12:50",345,334,0,10,1,169,158,0,10,1,164,5,338,169,67,91,0,6
40,VÂLCEA,"CĂMINUL CULTURAL RACOVIŢA",346,RACOVIŢA,172509,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:53",733,691,0,29,13,518,476,0,29,13,494,24,830,312,332,62,7,93
40,VÂLCEA,"OCOLUL SILVIC LOVIŞTEA",349,RACOVIŢA,172509,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:48:42",132,120,0,12,0,117,105,0,12,0,115,2,150,33,57,54,0,4
40,VÂLCEA,"ŞCOALA GRUIUL LUPULUI",348,RACOVIŢA,172509,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:23:20",114,103,1,7,3,79,69,0,7,3,77,2,120,41,43,6,1,27
