precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"REZIUC RADU-CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","POPOVICI DANIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AIROAIE AURELIAN-RADU-PARTIDUL NAȚIONAL LIBERAL-voturi","SOLCAN DĂNUŢ-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","COJOCARIU ION VASILE-FORȚA DREPTEI-voturi"
35,SUCEAVA,"CAMINUL CULTURAL AL COMUNEI MITOCU DRAGOMIRNEI",391,"MITOCU DRAGOMIRNEI",146325,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:10:45",1331,1292,2,29,8,801,763,1,29,8,775,26,1429,628,437,116,114,73,35
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 1",392,"MITOCU DRAGOMIRNEI",146325,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:06:20",1901,1891,1,5,4,1134,1125,0,5,4,1056,69,2081,956,448,184,162,181,81
35,SUCEAVA,"ŞCOALA PRIMARĂ ”ION CREANGĂ” MITOCAŞI",394,"MITOCU DRAGOMIRNEI",146325,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:51:12",779,768,0,7,4,475,464,0,7,4,468,7,844,369,254,134,30,35,15
35,SUCEAVA,"ŞCOALA PRIMARĂ LIPOVENI",393,"MITOCU DRAGOMIRNEI",146325,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:23",393,388,0,5,0,215,210,0,5,0,208,7,420,205,112,12,27,26,31
