precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TAIFAS ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","BIRIN ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ENACHE MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"ȘCOALA GENERALĂ",359,VÂLCELE,129987,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:03:20",647,619,0,12,16,434,406,0,12,16,418,16,679,245,247,19,152
30,OLT,"ȘCOALA VÎLCELE",358,VÂLCELE,129987,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:14:32",1276,1221,0,19,36,866,811,0,19,36,833,33,1380,514,488,78,267
