precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NIDELEA FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BUNESCU GEORGIANA-PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"CĂMINUL CULTURAL CLEJANI",94,CLEJANI,101984,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:53",1340,1260,5,18,57,961,886,0,18,57,898,63,1443,482,878,20
19,GIURGIU,"GRĂDINIŢA CU PN NR.3 NEAJLOV",95,CLEJANI,101984,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:10:51",1251,1142,1,60,48,1020,912,0,60,48,966,54,1300,280,959,7
