precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ISZLAI TIBOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PORTIK DIONISIE-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
28,MUREŞ,"CĂMIN CULTURAL SATU NOU",385,"GHEORGHE DOJA",116983,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:53:14",634,606,0,3,25,332,304,0,3,25,322,10,700,368,302,20
28,MUREŞ,"CĂMIN CULTURAL TIRIMIA",386,"GHEORGHE DOJA",116983,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:00:53",728,718,0,2,8,333,323,0,2,8,288,45,814,481,239,49
28,MUREŞ,"CĂMINUL CULTURAL GHEORGHE DOJA",382,"GHEORGHE DOJA",116983,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:59:55",403,373,1,10,19,203,173,1,10,19,194,9,430,227,167,27
28,MUREŞ,"CĂMINUL CULTURAL ILIENI",383,"GHEORGHE DOJA",116983,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:06:05",327,305,0,4,18,182,160,0,4,18,175,6,360,179,152,23
28,MUREŞ,"CĂMINUL CULTURAL LEORDENI",384,"GHEORGHE DOJA",116983,3,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:40",314,296,0,3,15,170,152,0,3,15,166,4,326,156,90,76
