precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GÎSCĂ TUDOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","ANDREI NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MARALOIU ŞTEFAN-IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","TURCU FĂNEL-FORȚA DREPTEI-voturi"
9,BRĂILA,"SALĂ FESTIVITĂȚI CORBENI ( FOST CAMIN CULTURAL SAT CORBENI)",218,RACOVIŢA,43698,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:20:28",106,96,0,8,2,77,67,0,8,2,74,3,153,76,38,21,5,10
9,BRĂILA,"ȘCOALA GIMNAZIALĂ RACOVIȚA",217,RACOVIŢA,43698,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:25:53",721,692,0,18,11,509,480,0,18,11,462,18,740,260,187,97,69,109
