precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"LOCALUL CĂMINULUI CULTURAL DIN SATUL BĂNEASA",263,SALCIA,153936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:41:17",714,624,0,52,38,482,392,0,52,38,475,7,685,203,17,51,86,321
36,TELEORMAN,"LOCALUL CĂMINULUI CULTURAL DIN SATUL TUDOR VLADIMIRESCU",264,SALCIA,153936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:41",547,502,0,13,32,366,321,0,13,32,356,10,587,221,9,34,68,245
36,TELEORMAN,"LOCALUL CĂMINULUI CULTURAL SALCIA",262,SALCIA,153936,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:51:41",723,688,0,10,25,386,351,0,10,25,368,18,755,369,43,78,76,171
