precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PÎRJOL OVIDIU-ION-PARTIDUL SOCIAL DEMOCRAT-voturi","CIOBANU ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂCIUCĂ VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
20,GORJ,"ŞCOALA GIMNAZIALĂ NEGRENI",240,LICURICI,80711,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:35",533,502,0,14,17,354,323,0,14,17,341,13,600,246,17,16,308
20,GORJ,"ŞCOALA GIMNAZIALĂ NR. 1 TOTEA",241,LICURICI,80711,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:30:47",595,560,0,10,25,391,356,0,10,25,380,11,599,208,15,67,298
20,GORJ,"ŞCOALA PRIMARĂ LICURICI",239,LICURICI,80711,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:39:08",630,582,0,20,28,402,354,0,20,28,397,5,700,298,29,62,306
