precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CODREA VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","MOLDOVAN SEBASTIAN-DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","MOLDOVAN MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL ŢĂGŞORU",100,BUDEŞTI,32768,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:20:08",205,189,0,12,4,136,120,0,12,4,133,3,200,64,61,70,2
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ BUDEŞTI",97,BUDEŞTI,32768,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:14:46",446,427,1,6,12,283,265,0,6,12,269,14,471,188,156,97,16
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ BUDEŞTI-FÎNAŢE",98,BUDEŞTI,32768,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:22:33",235,222,0,2,11,164,151,0,2,11,157,7,250,86,95,56,6
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ ŢAGU",99,BUDEŞTI,32768,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:34",501,480,0,7,14,326,305,0,7,14,314,12,500,174,180,116,18
