precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIORTUZ PĂUN-PARTIDUL NAȚIONAL LIBERAL-voturi","ALBU ALEXANDRU-VICHENTIE-PARTIDUL SOCIAL DEMOCRAT-voturi","PUIA PETRIŞOARA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STROCA MARIA-UNIUNEA CREȘTIN DEMOCRATĂ DIN ROMÂNIA-voturi","PUNGILĂ IACOB-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL GÂRBOVĂȚ",162,BĂNIA,51305,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:39:08",500,448,0,37,15,349,297,0,37,15,346,3,493,144,254,85,1,3,3
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ BĂNIA",161,BĂNIA,51305,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:54:37",957,874,0,53,30,754,671,0,53,30,743,11,997,243,115,561,16,41,10
