precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"R-FEKETE LUDOVIC-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","POP VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","KOLOZSVARI LASZLO-PARTIDUL SOCIAL DEMOCRAT-voturi"
26,MARAMUREŞ,"CAMINUL CULTURAL",269,"CÂMPULUNG LA TISA",107715,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:28:31",1213,1203,1,0,9,699,689,1,0,9,674,25,1346,647,322,219,133
26,MARAMUREŞ,PRIMĂRIA,270,"CÂMPULUNG LA TISA",107715,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:19:38",815,805,1,3,6,492,482,1,3,6,475,17,871,379,249,162,64
