precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL VERDE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
35,SUCEAVA,"CASA DE CULTURĂ",354,"HORODNIC DE SUS",151479,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:45:20",1780,1779,0,1,0,931,930,0,1,0,900,31,2000,1069,76,570,58,97,40,59
35,SUCEAVA,"SCOALA GIMNAZIALA NR.2",353,"HORODNIC DE SUS",151479,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:22:55",1262,1261,1,0,0,591,591,0,0,0,556,35,1308,717,32,335,81,90,10,8
35,SUCEAVA,"SCOALA GIMNAZIALA NR.3",355,"HORODNIC DE SUS",151479,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:09:24",1134,1133,1,0,0,481,480,1,0,0,454,27,1300,819,42,261,60,72,4,15
