precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LIVESCU ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","SAFTA SIMION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PRIGOANĂ PETRU-PARTIDUL NAȚIONAL LIBERAL-voturi","HRISTEA ANTOANETA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
13,CLUJ,"PRIMARIA COMUNEI",529,MĂGURI-RĂCĂTĂU,58357,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:22",706,703,0,3,0,489,486,0,3,0,466,23,772,283,227,10,202,27
13,CLUJ,"SCOALA GENERALA",530,MĂGURI-RĂCĂTĂU,58357,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:33",715,711,0,2,2,493,489,0,2,2,479,14,775,282,285,65,110,19
13,CLUJ,"SCOALA GIMNAZIALA MUNTELE-RECE",531,MĂGURI-RĂCĂTĂU,58357,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:53",444,433,1,9,1,316,306,0,9,1,312,4,480,164,142,7,158,5
