precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ASAFTEI-TITIANU ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COMAN GHEORGHE-CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BENŢA CODRIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢĂPOI EUSEBIU-LUCIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ZANCU MARIANA-PARTIDUL S.O.S. ROMÂNIA-voturi"
35,SUCEAVA,"CASA SOCIALĂ ”ARHIM. ZENOVIE GHIDESCU”",99,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:30:21",837,823,1,8,5,435,422,0,8,5,418,8,1000,574,24,345,10,25,14
35,SUCEAVA,"COLEGIUL NAŢIONAL ”NICU GANE”",82,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:14:00",1451,1435,5,8,3,657,646,0,8,3,653,4,1600,943,23,456,45,107,22
35,SUCEAVA,"COLEGIUL NAŢIONAL ”NICU GANE”",83,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:27",1497,1489,0,6,2,679,671,0,6,2,663,16,1600,921,26,516,28,77,16
35,SUCEAVA,"COLEGIUL TEHNIC ”MIHAI BĂCESCU”",80,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:00:04",1378,1363,5,4,6,668,658,0,4,6,655,13,1596,928,38,460,44,95,18
35,SUCEAVA,"COLEGIUL ”VASILE LOVINESCU”",95,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:24",1294,1285,3,3,3,536,530,0,3,3,521,15,1400,864,23,386,35,63,14
35,SUCEAVA,"COLEGIUL ”VASILE LOVINESCU”",97,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:05:12",1701,1678,4,7,12,848,828,1,7,12,825,23,1800,830,44,592,37,121,31
35,SUCEAVA,"COLEGIUL ”VASILE LOVINESCU”",96,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:38",1364,1362,0,1,1,599,597,0,1,1,583,16,1400,801,26,430,42,75,10
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",92,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:55",995,987,0,5,3,398,390,0,5,3,393,5,1200,802,16,306,25,33,13
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",93,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:10:50",1022,1017,0,5,0,420,415,0,5,0,410,10,1200,780,15,316,22,50,7
35,SUCEAVA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”DUMBRAVA MINUNATĂ”",94,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:02:26",899,885,3,5,6,405,394,0,5,6,395,10,1000,595,19,299,13,48,16
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU IOAN CUZA”",81,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:49:52",1438,1432,0,6,0,631,625,0,6,0,624,7,1600,969,9,480,45,80,10
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”IOAN CIUREA”",84,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:54:02",1329,1321,1,7,0,569,562,0,7,0,551,18,1400,831,23,445,12,54,17
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”IOAN CIUREA”",85,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:31:06",802,796,0,5,1,413,407,0,5,1,400,13,900,487,20,302,21,50,7
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”IOAN CIUREA”",86,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:48",1063,1056,0,7,0,482,475,0,7,0,469,13,1200,718,26,354,21,61,7
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”IOAN CIUREA”- CLĂDIRE GHEORGHE GAFENCU",98,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:31:26",1561,1555,0,5,1,672,666,0,5,1,644,28,1700,1028,48,522,22,42,10
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”ION IRIMIESCU”",91,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:51:26",1129,1120,1,6,2,496,487,1,6,2,474,22,1300,804,22,324,29,85,14
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”ION IRIMIESCU”",90,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:56",1103,1093,0,9,1,498,488,0,9,1,485,13,1200,702,24,340,19,83,19
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",88,"MUNICIPIUL FĂLTICENI",146539,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:50:04",1141,1132,0,7,2,499,490,0,7,2,490,9,1300,801,21,388,19,54,8
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",89,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:32:46",1196,1190,1,5,0,585,580,0,5,0,557,9,1300,715,16,404,32,90,15
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ ”MIHAIL SADOVEANU”",87,"MUNICIPIUL FĂLTICENI",146539,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:05:05",1606,1599,0,5,2,745,738,0,5,2,721,24,1700,955,24,546,49,84,18
