precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŢUVEC DRAGOŞ-ANDREI-PARTIDUL NAȚIONAL LIBERAL-voturi","COMAN GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","PALCU EUGEN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
27,MEHEDINŢI,"CONTAINER MODULAR FIX-CURTEA ŞCOLII GENERALE I-IV ŞUŞIŢA",187,GROZEŞTI,111989,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:57:49",394,374,0,14,6,257,237,0,14,6,250,7,412,155,83,155,12
27,MEHEDINŢI,"GRĂDINIŢA CU PROGRAM NORMAL CU DOUĂ SĂLI DE GRUPĂ, SAT GROZEŞTI, COMUNA GROZEŞTI, JUDEŢUL MEHEDINŢI",185,GROZEŞTI,111989,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:11:25",364,358,1,4,1,240,235,0,4,1,234,6,390,150,28,104,102
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-IV CÎRCENI",186,GROZEŞTI,111989,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:36:03",785,765,0,12,8,406,386,0,12,8,402,4,728,322,26,363,13
